files: 988
trials: 100
path_a path_b min max mean variance std_dev rel_std_dev
/home/falkor/source/idhash/duplicates/143_a.jpg /home/falkor/source/idhash/duplicates/143_b.jpg 1 36 23.33 46.40 6.81 29.20
/home/falkor/source/idhash/duplicates/144_a.jpg /home/falkor/source/idhash/duplicates/144_b.jpg 6 42 26.48 46.83 6.84 25.84
/home/falkor/source/idhash/duplicates/145_a.jpg /home/falkor/source/idhash/duplicates/145_b.jpg 4 41 24.31 51.61 7.18 29.55
/home/falkor/source/idhash/duplicates/146_a.jpg /home/falkor/source/idhash/duplicates/146_b.jpg 4 36 23.31 50.33 7.09 30.44
/home/falkor/source/idhash/duplicates/147_a.jpg /home/falkor/source/idhash/duplicates/147_b.jpg 4 40 22.33 37.90 6.16 27.57
/home/falkor/source/idhash/duplicates/148_a.jpg /home/falkor/source/idhash/duplicates/148_b.jpg 8 37 23.03 43.35 6.58 28.59
/home/falkor/source/idhash/duplicates/149_a.jpg /home/falkor/source/idhash/duplicates/149_b.jpg 8 36 22.61 39.34 6.27 27.74
/home/falkor/source/idhash/duplicates/150_a.jpg /home/falkor/source/idhash/duplicates/150_b.jpg 1 41 20.88 47.07 6.86 32.86
/home/falkor/source/idhash/duplicates/151_a.jpg /home/falkor/source/idhash/duplicates/151_b.jpg 4 35 21.06 39.86 6.31 29.98
/home/falkor/source/idhash/duplicates/152_a.jpg /home/falkor/source/idhash/duplicates/152_b.jpg 3 44 24.63 55.03 7.42 30.12
/home/falkor/source/idhash/duplicates/153_a.jpg /home/falkor/source/idhash/duplicates/153_b.jpg 3 39 23.88 48.37 6.95 29.12
/home/falkor/source/idhash/duplicates/154_a.jpg /home/falkor/source/idhash/duplicates/154_b.jpg 6 37 22.82 36.01 6.00 26.30
/home/falkor/source/idhash/duplicates/155_a.jpg /home/falkor/source/idhash/duplicates/155_b.jpg 4 39 19.89 40.06 6.33 31.82
/home/falkor/source/idhash/duplicates/156_a.jpg /home/falkor/source/idhash/duplicates/156_b.jpg 7 37 21.91 46.80 6.84 31.22
/home/falkor/source/idhash/duplicates/157_a.jpg /home/falkor/source/idhash/duplicates/157_b.jpg 6 37 22.36 46.93 6.85 30.64
/home/falkor/source/idhash/duplicates/158_a.jpg /home/falkor/source/idhash/duplicates/158_b.jpg 5 39 24.25 52.33 7.23 29.83
/home/falkor/source/idhash/duplicates/159_a.jpg /home/falkor/source/idhash/duplicates/159_b.jpg 4 38 22.85 30.95 5.56 24.35
/home/falkor/source/idhash/duplicates/160_a.jpg /home/falkor/source/idhash/duplicates/160_b.jpg 7 37 21.50 30.89 5.56 25.85
/home/falkor/source/idhash/duplicates/161_a.jpg /home/falkor/source/idhash/duplicates/161_b.jpg 2 38 21.15 50.89 7.13 33.73
/home/falkor/source/idhash/duplicates/162_a.jpg /home/falkor/source/idhash/duplicates/162_b.jpg 7 38 21.53 32.09 5.66 26.31
/home/falkor/source/idhash/duplicates/163_a.jpg /home/falkor/source/idhash/duplicates/163_b.jpg 5 39 21.30 37.37 6.11 28.70
/home/falkor/source/idhash/duplicates/164_a.jpg /home/falkor/source/idhash/duplicates/164_b.jpg 4 38 22.41 36.78 6.06 27.06
/home/falkor/source/idhash/duplicates/165_a.jpg /home/falkor/source/idhash/duplicates/165_b.jpg 2 35 20.06 40.98 6.40 31.91
/home/falkor/source/idhash/duplicates/166_a.jpg /home/falkor/source/idhash/duplicates/166_b.jpg 0 36 23.67 43.38 6.59 27.83
/home/falkor/source/idhash/duplicates/167_a.jpg /home/falkor/source/idhash/duplicates/167_b.jpg 4 36 20.27 38.06 6.17 30.43
/home/falkor/source/idhash/duplicates/168_a.jpg /home/falkor/source/idhash/duplicates/168_b.jpg 1 40 22.46 39.89 6.32 28.12
/home/falkor/source/idhash/duplicates/169_a.jpg /home/falkor/source/idhash/duplicates/169_b.jpg 3 39 22.16 43.63 6.61 29.81
/home/falkor/source/idhash/duplicates/170_a.jpg /home/falkor/source/idhash/duplicates/170_b.jpg 2 41 23.51 60.25 7.76 33.02
/home/falkor/source/idhash/duplicates/171_a.jpg /home/falkor/source/idhash/duplicates/171_b.jpg 7 40 23.25 40.61 6.37 27.41
/home/falkor/source/idhash/duplicates/172_a.jpg /home/falkor/source/idhash/duplicates/172_b.jpg 6 39 22.55 47.17 6.87 30.46
/home/falkor/source/idhash/duplicates/173_a.jpg /home/falkor/source/idhash/duplicates/173_b.jpg 6 38 22.72 44.38 6.66 29.32
/home/falkor/source/idhash/duplicates/174_a.jpg /home/falkor/source/idhash/duplicates/174_b.jpg 7 38 22.64 43.73 6.61 29.21
/home/falkor/source/idhash/duplicates/175_a.jpg /home/falkor/source/idhash/duplicates/175_b.jpg 7 44 24.42 48.24 6.95 28.44
/home/falkor/source/idhash/duplicates/176_a.jpg /home/falkor/source/idhash/duplicates/176_b.jpg 1 35 21.88 47.89 6.92 31.63
/home/falkor/source/idhash/duplicates/177_a.jpg /home/falkor/source/idhash/duplicates/177_b.jpg 2 41 25.14 62.30 7.89 31.40
/home/falkor/source/idhash/duplicates/178_a.jpg /home/falkor/source/idhash/duplicates/178_b.jpg 5 35 21.25 45.49 6.74 31.74
/home/falkor/source/idhash/duplicates/179_a.jpg /home/falkor/source/idhash/duplicates/179_b.jpg 6 35 22.00 39.14 6.26 28.44
/home/falkor/source/idhash/duplicates/180_a.jpg /home/falkor/source/idhash/duplicates/180_b.jpg 3 35 22.06 49.44 7.03 31.87
/home/falkor/source/idhash/duplicates/181_a.jpg /home/falkor/source/idhash/duplicates/181_b.jpg 4 38 23.16 46.99 6.86 29.60
/home/falkor/source/idhash/duplicates/182_a.jpg /home/falkor/source/idhash/duplicates/182_b.jpg 0 37 21.77 37.24 6.10 28.03
/home/falkor/source/idhash/duplicates/183_a.jpg /home/falkor/source/idhash/duplicates/183_b.jpg 0 38 24.79 48.21 6.94 28.01
